field,num_unique_values
http://www.wikidata.org/entity/Q11297597,1
http://www.wikidata.org/entity/Q11297598,1
http://www.wikidata.org/entity/Q11297825,1
http://www.wikidata.org/entity/Q11297858,1
http://www.wikidata.org/entity/Q11297865,1
http://www.wikidata.org/entity/Q11297880,1
http://www.wikidata.org/entity/Q11297886,1
http://www.wikidata.org/entity/Q11297888,1
http://www.wikidata.org/entity/Q11297889,1
http://www.wikidata.org/entity/Q11297894,1
http://www.wikidata.org/entity/Q11297901,1
http://www.wikidata.org/entity/Q11297907,1
http://www.wikidata.org/entity/Q11297908,1
http://www.wikidata.org/entity/Q11297913,1
http://www.wikidata.org/entity/Q11297929,1
http://www.wikidata.org/entity/Q11297933,1
http://www.wikidata.org/entity/Q11297939,1
http://www.wikidata.org/entity/Q11297941,1
http://www.wikidata.org/entity/Q11298001,1
http://www.wikidata.org/entity/Q11298006,1
http://www.wikidata.org/entity/Q11298047,1
http://www.wikidata.org/entity/Q11298213,1
http://www.wikidata.org/entity/Q11298246,1
http://www.wikidata.org/entity/Q11298272,1
http://www.wikidata.org/entity/Q11298318,1
http://www.wikidata.org/entity/Q11298396,1
http://www.wikidata.org/entity/Q11298616,1
http://www.wikidata.org/entity/Q11298647,1
http://www.wikidata.org/entity/Q11298760,1
http://www.wikidata.org/entity/Q11298823,1
http://www.wikidata.org/entity/Q11298824,1
http://www.wikidata.org/entity/Q11298827,1
http://www.wikidata.org/entity/Q11298847,1
http://www.wikidata.org/entity/Q11298894,1
http://www.wikidata.org/entity/Q11298905,1
http://www.wikidata.org/entity/Q11298908,1
http://www.wikidata.org/entity/Q11298915,1
http://www.wikidata.org/entity/Q11299084,1
http://www.wikidata.org/entity/Q11299108,1
http://www.wikidata.org/entity/Q11299186,1
http://www.wikidata.org/entity/Q11299199,1
http://www.wikidata.org/entity/Q11299205,1
http://www.wikidata.org/entity/Q11299394,1
http://www.wikidata.org/entity/Q11299569,1
http://www.wikidata.org/entity/Q11299697,1
http://www.wikidata.org/entity/Q11299703,1
http://www.wikidata.org/entity/Q11299831,1
http://www.wikidata.org/entity/Q11299832,1
http://www.wikidata.org/entity/Q11299933,1
http://www.wikidata.org/entity/Q11299981,1
http://www.wikidata.org/entity/Q11299986,1
http://www.wikidata.org/entity/Q11299997,1
http://www.wikidata.org/entity/Q11300124,1
http://www.wikidata.org/entity/Q11300176,1
http://www.wikidata.org/entity/Q11300191,1
http://www.wikidata.org/entity/Q11300282,1
http://www.wikidata.org/entity/Q11300295,1
http://www.wikidata.org/entity/Q11300297,1
http://www.wikidata.org/entity/Q11300349,1
http://www.wikidata.org/entity/Q11300352,1
http://www.wikidata.org/entity/Q11300372,1
http://www.wikidata.org/entity/Q11300390,1
http://www.wikidata.org/entity/Q11300395,1
http://www.wikidata.org/entity/Q11300417,1
http://www.wikidata.org/entity/Q11300491,1
http://www.wikidata.org/entity/Q11300495,1
http://www.wikidata.org/entity/Q11300536,1
http://www.wikidata.org/entity/Q11300574,1
http://www.wikidata.org/entity/Q11300654,1
http://www.wikidata.org/entity/Q11300664,1
http://www.wikidata.org/entity/Q11300704,1
http://www.wikidata.org/entity/Q11300706,1
http://www.wikidata.org/entity/Q11300715,1
http://www.wikidata.org/entity/Q11300768,1
http://www.wikidata.org/entity/Q11300788,1
http://www.wikidata.org/entity/Q11300789,1
http://www.wikidata.org/entity/Q11300793,1
http://www.wikidata.org/entity/Q11300798,1
http://www.wikidata.org/entity/Q11300800,1
http://www.wikidata.org/entity/Q11300801,1
http://www.wikidata.org/entity/Q11300830,1
http://www.wikidata.org/entity/Q11300981,1
http://www.wikidata.org/entity/Q11300985,1
http://www.wikidata.org/entity/Q11300988,1
http://www.wikidata.org/entity/Q11300989,1
http://www.wikidata.org/entity/Q11300994,1
http://www.wikidata.org/entity/Q11301024,1
http://www.wikidata.org/entity/Q11301026,1
http://www.wikidata.org/entity/Q11301070,1
http://www.wikidata.org/entity/Q11301164,1
http://www.wikidata.org/entity/Q11301225,1
http://www.wikidata.org/entity/Q11301313,1
http://www.wikidata.org/entity/Q11301318,1
http://www.wikidata.org/entity/Q11301477,1
http://www.wikidata.org/entity/Q11301481,1
http://www.wikidata.org/entity/Q11301487,1
http://www.wikidata.org/entity/Q11301539,1
http://www.wikidata.org/entity/Q11301575,1
http://www.wikidata.org/entity/Q11301823,1
http://www.wikidata.org/entity/Q11301835,1
http://www.wikidata.org/entity/Q11301850,1
http://www.wikidata.org/entity/Q11301854,1
http://www.wikidata.org/entity/Q11301875,1
http://www.wikidata.org/entity/Q11301911,1
http://www.wikidata.org/entity/Q11301914,1
http://www.wikidata.org/entity/Q11302085,1
http://www.wikidata.org/entity/Q11302101,1
http://www.wikidata.org/entity/Q11302108,1
http://www.wikidata.org/entity/Q11302140,1
http://www.wikidata.org/entity/Q11302142,1
http://www.wikidata.org/entity/Q11302146,1
http://www.wikidata.org/entity/Q11302152,1
http://www.wikidata.org/entity/Q11302158,1
http://www.wikidata.org/entity/Q11302197,1
http://www.wikidata.org/entity/Q11302247,1
http://www.wikidata.org/entity/Q11302252,1
http://www.wikidata.org/entity/Q11302363,1
http://www.wikidata.org/entity/Q11302431,1
http://www.wikidata.org/entity/Q11302495,1
http://www.wikidata.org/entity/Q11302847,1
http://www.wikidata.org/entity/Q11302893,1
http://www.wikidata.org/entity/Q11302976,1
http://www.wikidata.org/entity/Q11302995,1
http://www.wikidata.org/entity/Q11303053,1
http://www.wikidata.org/entity/Q11303118,1
http://www.wikidata.org/entity/Q11303344,1
http://www.wikidata.org/entity/Q11303412,1
http://www.wikidata.org/entity/Q11303451,1
http://www.wikidata.org/entity/Q11303576,1
http://www.wikidata.org/entity/Q11303612,1
http://www.wikidata.org/entity/Q11303707,1
http://www.wikidata.org/entity/Q11303789,1
http://www.wikidata.org/entity/Q11303790,1
http://www.wikidata.org/entity/Q11303808,1
http://www.wikidata.org/entity/Q11303868,1
http://www.wikidata.org/entity/Q11303876,1
http://www.wikidata.org/entity/Q11303885,1
http://www.wikidata.org/entity/Q11303890,1
http://www.wikidata.org/entity/Q11303899,1
http://www.wikidata.org/entity/Q11303924,1
http://www.wikidata.org/entity/Q11303925,1
http://www.wikidata.org/entity/Q11303936,1
http://www.wikidata.org/entity/Q11303941,1
http://www.wikidata.org/entity/Q11303942,1
http://www.wikidata.org/entity/Q11303946,1
http://www.wikidata.org/entity/Q11303951,1
http://www.wikidata.org/entity/Q11303952,1
http://www.wikidata.org/entity/Q11303954,1
http://www.wikidata.org/entity/Q11303962,1
http://www.wikidata.org/entity/Q11304073,1
http://www.wikidata.org/entity/Q11304119,1
http://www.wikidata.org/entity/Q11304250,1
